x1,x2,y
7.3963210215268145,7.081758709698017,-1
5.903024862503852,3.359976562153304,-1
3.4447916515105925,1.2355926888445712,1
7.966517966279767,9.196831610571238,-1
8.063810355565979,2.3760713805423106,-1
4.984710245448061,9.400398588198174,1
9.938779548298655,9.036585803471425,-1
6.259480912651116,9.675923262189594,-1
7.766860298218587,7.105287225403075,-1
5.0482245095519085,2.7147053260225995,-1
8.890910286879087,2.758490309063444,-1
3.0891451020804506,3.159202060807431,1
7.318881929804895,9.94376344549872,-1
0.7401730015689556,1.01269717548232,1
4.155011157790143,2.7703052912656023,1
4.20490329357059,9.752787227631906,1
2.0427664578687343,8.365248998881112,1
5.10794963312291,3.682630401706637,-1
7.0428996265365225,7.800812265922588,-1
4.780528421112735,8.359038076163781,1
3.6734743231354106,4.588451216433979,1
7.946169053144054,0.5139218709826765,-1
2.5380649954455325,3.2180073671203235,1
0.05622883616543506,4.921693418546393,1
3.8054955772429166,1.5276962091817414,1
6.021810872211535,2.396845948667168,-1
5.229703614431498,2.121318612833991,-1
0.8494284998272628,8.448030907654136,1
6.9936793358298495,9.925758083531878,-1
0.1355290882935667,5.434430232906317,1
9.203298765941533,1.2030317842838034,-1
3.1130323561161366,5.85728091905287,1
1.7871835501235944,8.293422597308256,1
0.8417894777552748,9.350257575259969,1
3.6543770667607056,9.337334435074865,1
2.9754155755285017,9.516465539011094,1
3.822537734262128,5.327634708824425,1
2.3059964000675626,8.041525961801542,1
2.8753045645699227,1.640946716674725,1
9.931242563481133,5.9879891980614985,-1
0.497952010113778,6.6503573558221625,1
3.4971288152415236,3.6690621119274325,1
5.133857968064007,2.5251659847641283,-1
1.4766599144719117,3.0822864115992443,1
4.589934808550931,4.364822020264061,1
0.4895501117883483,6.2253007732022265,1
8.503757164250382,4.116945042942948,-1
7.425643694454946,7.92115688469506,-1
5.746139940725472,2.0653570922091746,-1
3.0365497199259295,5.994862268785064,1
